train_loss,train_acc,test_acc,Model,Epoch
3.8617821200119566,11.158,20.22,ResNeXt50_Scratch,1
2.910262570661657,26.3,32.9,ResNeXt50_Scratch,2
2.301467002962556,38.704,41.86,ResNeXt50_Scratch,3
1.8987194651837849,47.864,47.86,ResNeXt50_Scratch,4
1.6108728956688396,54.784,50.89,ResNeXt50_Scratch,5
1.2303628180261768,69.176,82.82,ResNeXt50_FT,1
0.3681342061656668,88.7,84.6,ResNeXt50_FT,2
0.18828726909540194,94.156,85.21,ResNeXt50_FT,3
0.11539263443787919,96.48,85.27,ResNeXt50_FT,4
0.08803310989142607,97.264,84.58,ResNeXt50_FT,5
3.596775783602234,14.8,21.63,DenseNet121_Scratch,1
2.6427966645916405,31.7,35.19,DenseNet121_Scratch,2
2.0964589419267368,43.308,47.3,DenseNet121_Scratch,3
1.7536794107283473,51.234,49.99,DenseNet121_Scratch,4
1.4972878235685245,57.568,55.44,DenseNet121_Scratch,5
1.6436125950130356,61.22,76.75,DenseNet121_FT,1
0.6433483104000006,81.558,80.4,DenseNet121_FT,2
0.40860098074464235,87.944,81.55,DenseNet121_FT,3
0.27118027982923687,91.994,81.84,DenseNet121_FT,4
0.19887925706365528,94.056,81.67,DenseNet121_FT,5
